
Period: 1
2 : {'x': 117.294475, 'y': 31.948112, 'h': 5.0, 'dt': 33.0, 'L': 110.0, 'k': 193.0, 'a': 38.0, 'Lt': 0, 'AL': 0}
3 : {'x': 117.893109, 'y': 31.298775, 'h': 5.0, 'dt': 33.0, 'L': 93.0, 'k': 233.0, 'a': 46.0, 'Lt': 0, 'AL': 0}
4 : {'x': 118.328278, 'y': 30.912009, 'h': 5.0, 'dt': 35.0, 'L': 44.0, 'k': 216.0, 'a': 43.0, 'Lt': 0, 'AL': 0}
5 : {'x': 118.841003, 'y': 30.971189, 'h': 5.0, 'dt': 47.0, 'L': 83.0, 'k': 209.0, 'a': 41.0, 'Lt': 0, 'AL': 0}
6 : {'x': 118.452627, 'y': 30.708614, 'h': 5.0, 'dt': 78.0, 'L': 78.0, 'k': 238.0, 'a': 47.0, 'Lt': 0, 'AL': 0}
7 : {'x': 117.006657, 'y': 31.033569, 'h': 5.0, 'dt': 148.0, 'L': 100.0, 'k': 244.0, 'a': 48.0, 'Lt': 0, 'AL': 0}
8 : {'x': 116.686214, 'y': 30.130282, 'h': 5.0, 'dt': 82.0, 'L': 80.0, 'k': 195.0, 'a': 39.0, 'Lt': 0, 'AL': 0}
9 : {'x': 115.644374, 'y': 33.14694, 'h': 5.0, 'dt': 40.0, 'L': 118.0, 'k': 153.0, 'a': 30.0, 'Lt': 0, 'AL': 0}
10 : {'x': 115.8627, 'y': 32.863605, 'h': 5.0, 'dt': 66.0, 'L': 117.0, 'k': 190.0, 'a': 38.0, 'Lt': 0, 'AL': 0}
11 : {'x': 115.613263, 'y': 32.672618, 'h': 5.0, 'dt': 118.0, 'L': 84.0, 'k': 215.0, 'a': 43.0, 'Lt': 0, 'AL': 0}
12 : {'x': 117.423736, 'y': 31.844438, 'h': 5.0, 'dt': 38.0, 'L': 62.0, 'k': 162.0, 'a': 32.0, 'Lt': 0, 'AL': 0}
13 : {'x': 117.160812, 'y': 31.732684, 'h': 5.0, 'dt': 52.0, 'L': 63.0, 'k': 212.0, 'a': 42.0, 'Lt': 0, 'AL': 0}
14 : {'x': 116.272809, 'y': 32.31246, 'h': 5.0, 'dt': 41.0, 'L': 88.0, 'k': 199.0, 'a': 39.0, 'Lt': 0, 'AL': 0}
15 : {'x': 115.944202, 'y': 31.785187, 'h': 5.0, 'dt': 60.0, 'L': 102.0, 'k': 232.0, 'a': 46.0, 'Lt': 0, 'AL': 0}
16 : {'x': 116.576364, 'y': 31.778358, 'h': 5.0, 'dt': 135.0, 'L': 64.0, 'k': 213.0, 'a': 42.0, 'Lt': 0, 'AL': 0}
17 : {'x': 116.981199, 'y': 31.46457, 'h': 5.0, 'dt': 61.0, 'L': 95.0, 'k': 204.0, 'a': 40.0, 'Lt': 0, 'AL': 0}
18 : {'x': 117.248339, 'y': 30.727569, 'h': 5.0, 'dt': 90.0, 'L': 105.0, 'k': 242.0, 'a': 48.0, 'Lt': 0, 'AL': 0}
19 : {'x': 117.865042, 'y': 30.949113, 'h': 5.0, 'dt': 74.0, 'L': 116.0, 'k': 185.0, 'a': 37.0, 'Lt': 0, 'AL': 0}
20 : {'x': 118.443701, 'y': 29.891889, 'h': 5.0, 'dt': 49.0, 'L': 104.0, 'k': 234.0, 'a': 46.0, 'Lt': 0, 'AL': 0}
21 : {'x': 118.315828, 'y': 29.726378, 'h': 5.0, 'dt': 90.0, 'L': 92.0, 'k': 233.0, 'a': 46.0, 'Lt': 0, 'AL': 0}
22 : {'x': 117.882196, 'y': 31.58661, 'h': 5.0, 'dt': 41.0, 'L': 90.0, 'k': 189.0, 'a': 37.0, 'Lt': 0, 'AL': 0}
23 : {'x': 118.376735, 'y': 31.740306, 'h': 5.0, 'dt': 69.0, 'L': 88.0, 'k': 200.0, 'a': 40.0, 'Lt': 0, 'AL': 0}
24 : {'x': 118.484462, 'y': 31.561119, 'h': 5.0, 'dt': 118.0, 'L': 55.0, 'k': 234.0, 'a': 46.0, 'Lt': 0, 'AL': 0}
25 : {'x': 118.083028, 'y': 31.714705, 'h': 5.0, 'dt': 115.0, 'L': 44.0, 'k': 188.0, 'a': 37.0, 'Lt': 0, 'AL': 0}
26 : {'x': 118.315125, 'y': 32.265081, 'h': 5.0, 'dt': 65.0, 'L': 82.0, 'k': 179.0, 'a': 35.0, 'Lt': 0, 'AL': 0}
27 : {'x': 117.993917, 'y': 32.797318, 'h': 5.0, 'dt': 67.0, 'L': 107.0, 'k': 205.0, 'a': 41.0, 'Lt': 0, 'AL': 0}
28 : {'x': 117.585469, 'y': 32.884149, 'h': 5.0, 'dt': 44.0, 'L': 105.0, 'k': 198.0, 'a': 39.0, 'Lt': 0, 'AL': 0}
29 : {'x': 117.699707, 'y': 32.545583, 'h': 5.0, 'dt': 48.0, 'L': 64.0, 'k': 154.0, 'a': 30.0, 'Lt': 0, 'AL': 0}
30 : {'x': 118.275543, 'y': 32.099378, 'h': 5.0, 'dt': 38.0, 'L': 92.0, 'k': 188.0, 'a': 37.0, 'Lt': 0, 'AL': 0}
31 : {'x': 116.766063, 'y': 33.888749, 'h': 5.0, 'dt': 23.0, 'L': 119.0, 'k': 156.0, 'a': 31.0, 'Lt': 0, 'AL': 0}
32 : {'x': 116.962596, 'y': 34.171224, 'h': 5.0, 'dt': 22.0, 'L': 69.0, 'k': 173.0, 'a': 34.0, 'Lt': 0, 'AL': 0}
33 : {'x': 117.863011, 'y': 33.539419, 'h': 5.0, 'dt': 24.0, 'L': 90.0, 'k': 180.0, 'a': 36.0, 'Lt': 0, 'AL': 0}
